reaction_name,smirks,reference
"{Para-phenyl to pyridine}","[*:1][c:2]1[cH:3][cH:4][c:5]([*:6])[c$(c[H,F,Cl,Br,I,$([C;H3,H1&r3])]):7][c$(c[H,F,Cl,Br,I,$([C;H3,H1&r3])]):8]1>>[*:1][c:2]1[cH:3][n:4][c:5]([*:6])[c:7][c:8]1","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Urea to 2,2-diamino-1-nitroethene}","[c,C;!$(C(=O)):1]NC(=O)N[c,C;!$(C(=O)):2]>>[c,C:1]NC(=C[N+](=O)[O-])N[c,C:2]","https://pubs.acs.org/doi/full/10.1021/jm1013693"
{Urea to cyanoguanidine},"[c,C;!$(C(=O)):1]NC(=O)N[c,C;!$(C(=O)):2]>>[c,C:1]NC(=NC#N)N[c,C:2]","https://pubs.acs.org/doi/full/10.1021/jm1013693"
{Carboxylic acid to 4-hydroxy-2(3H)-thiazolone},"[C,c:1][C:2](=O)[OH,O-]>>[C,c:1][C:2]1C(=O)[NH]C(=O)S1","https://pubs.acs.org/doi/full/10.1021/jm1013693"
{Amide to dioxo-thietane},"[C,c:1]-C(=O)[N:3]-[C,c:2]>>[C,c:1]C1(CS(=O)(=O)C1)[N:3][C,c:2]","https://doi.org/10.1021/acs.jmedchem.5c02896"
{Pyrrolidine to pyridine},"[N:1]1[C:2][C:3][C:4][C:5]1>>[N:1]1[C:2][C:3]C[C:4][C:5]1","https://doi.org/10.1021/acs.jmedchem.5c02328"
{Pyrrolidine to piperazine},"[N:1]1[C:2][C:3][C:4][C:5]1>>[N:1]1[C:2][C:3]N[C:4][C:5]1","https://doi.org/10.1021/acs.jmedchem.5c02328"
{Quinoline to quinazoline},"[n:1]1[c:2]c(c[c:3]cc2)c2[c:4][c:5]1>>[n:1]1[c:2]c(c[c:3]cc2)c2[n:4][c:5]1","https://doi.org/10.1021/acs.jmedchem.5c02293"
{Methyl to CF3},"[C,c;!$(C(=O)):1]-[CH3]>>[C,c:1]-C(F)(F)F","https://doi.org/10.1021/acs.jmedchem.5c02523"
{Thiophene to furan},"[c:1]-[s:2]-[c:3]>>[c:1]-[o:2]-[c:3]","https://doi.org/10.1021/acs.jmedchem.2c00969"
{Furan to thiophene},"[c:1]-[o:2]-[c:3]>>[c:1]-[s:2]-[c:3]","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{Quinazoline to 1,4-benzodiazepine}","[n:1]1[c:2]c(c[c:3]cc2)c2[n:4][c:5]1>>[n:1]1[c:2]c(c[c:3]cc2)c2[n:4]c[c:5]1","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{Quinazoline to 1,4-benzodiazepine}","[n:1]1[c:2]c(c[c:3]cc2)c2[n:4][c:5]1>>[n:1]1[c:2]c(c[c:3]cc2)c2[n:4][c:5]c1","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{Rel-(3aR,9bR)-1,2,3,3a,5,9b-Hexahydro-5-methyl-4H-pyrrolo[3,4-c]quinolin-4-one to methoxyphenoxy azetidine}","[*]N1CC(C(cccc3)C3N(C)C2(=O))C2C1>>[*]N1CC(Oc2c(OC)cccc2)CC1","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{N-Phenylpropanamide to thiadiazolopyridinone}","[*]N(c1ccccc1)C(=O)CC>>[*]c1nc([Cl])cc(nsn2)c12","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{Tetramethyl cyclopropyl ketone to 4-chlorobenzisoxazole}","[*]C(=O)C1C(C)(C)C1(C)(C)>>[*]c1noc(cccc([Cl])2)c12","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{Tetramethyl cyclopropyl ketone to cyanopentyl carboxamide}","[*]C(=O)C1C(C)(C)C1(C)(C)>>[*]C(=O)NC(CC)(CC)C#N","https://doi.org/10.1021/acs.jmedchem.2c00969"
"{Trans-cyclochexane to isohexide}","[*:1]C1CCC([*:2])CC1>>[*:1]C1COC(C([*:2])CO2)C12","https://doi.org/10.1021/acsmedchemlett.5c00698"
