reaction_name,smirks,reference
{Carboxylic acid to tetrazole},"[C,c:1][C:2](=O)[OH,O-]>>[C,c:1][C:2]1=NN=NN1","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Tetrazole to carboxylic acid},"[C,c:1][C:2]1=NN=NN1>>[C,c:1][C:2](=O)[OH,O-]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Methyl to amine},"[C,c;!$(C(=O)):1]-[CH3]>>[C,c:1]-[NH2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Methyl to alcohol},"[C,c;!$(C(=O)):1]-[CH3]>>[C,c:1]-[OH]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Methyl to fluorine},"[C,c;!$(C(=O)):1]-[CH3]>>[C,c:1]-[F]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Methyl to chlorine},"[C,c;!$(C(=O)):1]-[CH3]>>[C,c:1]-[Cl]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Amine to methyl},"[C,c;!$(C(=O)):1]-[NH2]>>[C,c:1]-[CH3]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Amine to alcohol},"[C,c;!$(C(=O)):1]-[NH2]>>[C,c:1]-[OH]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Amine to fluorine},"[C,c;!$(C(=O))]-[NH2]>>[C,c:1]-[F]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Amine to chlorine},"[C,c;!$(C(=O)):1]-[NH2]>>[C,c:1]-[Cl]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to methyl},"[C,c;!$(C(=O)):1]-[OH]>>[C,c:1]-[CH3]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to amine},"[C,c;!$(C(=O)):1]-[OH]>>[C,c:1]-[NH2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to fluorine},"[C,c;!$(C(=O)):1]-[OH]>>[C,c:1]-[F]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to chlorine},"[C,c;!$(C(=O)):1]-[OH]>>[C,c:1]-[Cl]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to methoxy},"[C,c;!$(C(=O)):1]-[OH]>>[C,c:1]-O-[CH3]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to CHF2},"[C,c,n;!$(C(=O)):1]-[OH]>>[C,c:1]-[CH](F)F","https://pubs.acs.org/doi/full/10.1021/cr950066q"
{Alcohol to sulfoximine},"[C,c;!$(C(=O)):1]-[OH]>>[C,c:1]-[S](=O)=[NH]","https://pubs.acs.org/doi/full/10.1021/jm1013693"
{Methoxy to alcohol},"[C,c;!$(C(=O)):1]-O-[CH3]>>[C,c:1]-[OH]","https://www.cambridgemedchemconsulting.com/resources/bioisoteres/"
{Methoxy to fluorine},"[C,c;!$(C(=O)):1]-O-[CH3]>>[C,c:1]-[F]","https://www.cambridgemedchemconsulting.com/resources/bioisoteres/"
{Fluorine to methoxy},"[C,c;!$(C(=O)):1]-[F]>>[C,c:1]-O-[CH3]","https://www.cambridgemedchemconsulting.com/resources/bioisoteres/"
