reaction_name,smirks,reference
"{Carboxylic acid to tetrazole}","[C,c:1][C:2](=O)[OH,O-]>>[C,c:1][C:2]1=NN=NN1","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Methyl to amine}","[C,c;!$(C(=O)):1]-[CH3:2]>>[C,c:1]-[NH2:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Methyl to alcohol}","[C,c;!$(C(=O)):1]-[CH3:2]>>[C,c:1]-[OH:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Methyl to fluorine}","[C,c;!$(C(=O)):1]-[CH3:2]>>[C,c:1]-[F:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Methyl to chlorine}","[C,c;!$(C(=O)):1]-[CH3:2]>>[C,c:1]-[Cl:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Amine to methyl}","[C,c;!$(C(=O)):1]-[NH2:2]>>[C,c:1]-[CH3:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Amine to alcohol}","[C,c;!$(C(=O)):1]-[NH2:2]>>[C,c:1]-[OH:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Amine to fluorine}","[C,c;!$(C(=O))]-[NH2:2]>>[C,c:1]-[F:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Amine to chlorine}","[C,c;!$(C(=O)):1]-[NH2:2]>>[C,c:1]-[Cl:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Alcohol to methyl}","[C,c;!$(C(=O)):1]-[OH:2]>>[C,c:1]-[CH3:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Alcohol to amine}","[C,c;!$(C(=O)):1]-[OH:2]>>[C,c:1]-[NH2:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Alcohol to fluorine}","[C,c;!$(C(=O)):1]-[OH:2]>>[C,c:1]-[F:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Alcohol to chlorine}","[C,c;!$(C(=O)):1]-[OH:2]>>[C,c:1]-[Cl:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Alcohol to methoxy}","[C,c;!$(C(=O)):1]-[OH:2]>>[C,c:1]-O-[CH3:2]","https://pubs.acs.org/doi/full/10.1021/cr950066q"
"{Alcohol to CHF2}","[C,c;!$(C(=O)):1]-[OH:2]>>[C,c:1]-[CH:2](F)F","https://pubs.acs.org/doi/full/10.1021/cr950066q"
